cdr type,cdr datetime,call duration,last calling cellid,user_id
MoCallRecord,20180713112549,,12042.0,6310897619208256415
MtCallRecord,20180713112549,,,6310897619208256415
MtSMSRecord,20180713112603,,,3384066821637594455
MtSMSRecord,20180713112603,,,3384066821637594455
MtSMSRecord,20180713112604,,,2559855546297102659
MtSMSRecord,20180713112604,,,4888687938595279393
MtSMSRecord,20180713112604,,,3384066821637594455
MtSMSRecord,20180713112603,,,6766153947758062725
MtCallRecord,20180713112528,,,2835458743995815505
MtSMSRecord,20180713112603,,,2360232289363115828
MoCallRecord,20180713112551,,22092.0,7682060801491517960
MtCallRecord,20180713112551,,,7682060801491517960
MoCallRecord,20180713112528,,14001.0,2835458743995815505
MoCallRecord,20180713112431,,12101.0,9026652688182266640
MtCallRecord,20180713112431,,,9026652688182266640
MoCallRecord,20180713112527,,12222.0,3224396824794810697
MtCallRecord,20180713112527,,,3224396824794810697
MtSMSRecord,20180713112603,,,2360232289363115828
MoCallRecord,20180713112540,,21127.0,8440510999142567878
MtCallRecord,20180713112540,,,8440510999142567878
MtSMSRecord,20180713112603,,,6647700916843399878
MoCallRecord,20180713112350,,12181.0,5625823386835062178
MtCallRecord,20180713112350,,,5625823386835062178
MtSMSRecord,20180713112604,,,2360232289363115828
MoCallRecord,20180713112553,,12258.0,2267705436200861640
MtCallRecord,20180713112553,,,2267705436200861640
MoCallRecord,20180713112554,,34299.0,1237356486466692290
MtCallRecord,20180713112554,,,1237356486466692290
MtSMSRecord,20180713112603,,,7566424924061690786
MoCallRecord,20180713112451,,22153.0,3510756735845778037
MtCallRecord,20180713112451,,,3510756735845778037
MoCallRecord,20180713112553,,14073.0,2883834349780697091
IncGatewayRecord,20180713112547,,35042.0,455027958860935139
MtCallRecord,20180713112547,,,455027958860935139
MtCallRecord,20180713112554,,,7359652582538674378
MtCallRecord,20180713112521,,,8365296393210726515
MoCallRecord,20180713112554,,22313.0,7359652582538674378
MoCallRecord,20180713112521,,22193.0,8365296393210726515
MoCallRecord,20180713112554,,20232.0,3102103754062248128
MtCallRecord,20180713112554,,,3102103754062248128
MoCallRecord,20180713112553,,14233.0,8579662877629168387
MtSMSRecord,20180713112604,,,7566424924061690786
MtSMSRecord,20180713112603,,,4888687938595279393
MtSMSRecord,20180713112603,,,8108526639154877432
MoCallRecord,20180713112600,,10371.0,4446868468111103198
MoCallRecord,20180713112547,,20373.0,7200426194674692711
MtCallRecord,20180713112547,,,7200426194674692711
MtSMSRecord,20180713112604,,,3384066821637594455
MtSMSRecord,20180713112604,,,7566424924061690786
MtSMSRecord,20180713112603,,,6766153947758062725
MoCallRecord,20180713112448,,12813.0,6618441942890404619
MtCallRecord,20180713112448,,,6618441942890404619
MoCallRecord,20180713112527,,14183.0,8064932239831774470
MtCallRecord,20180713112527,,,8064932239831774470
MtSMSRecord,20180713112603,,,2325136655717145559
MoCallRecord,20180713112434,,10058.0,8229599955366369370
MtCallRecord,20180713112434,,,8229599955366369370
MtSMSRecord,20180713112604,,,3384066821637594455
MtCallRecord,20180713112509,,,3528823608702534715
MoCallRecord,20180713112509,,20342.0,3528823608702534715
MtCallRecord,20180713112540,,,2172989684900049707
MoCallRecord,20180713112540,,35003.0,2172989684900049707
MoCallRecord,20180713112546,,34671.0,5551218578428030295
MtCallRecord,20180713112546,,,5551218578428030295
MtSMSRecord,20180713112603,,,7566424924061690786
MtCallRecord,20180713112511,,,6373184444879832255
MoCallRecord,20180713112511,,20554.0,6373184444879832255
MoCallRecord,20180713112518,,10141.0,3072314535674996002
MtCallRecord,20180713112518,,,3072314535674996002
MtCallRecord,20180713112549,,,8976783106395328752
MoCallRecord,20180713112549,,34291.0,8976783106395328752
MoCallRecord,20180713112549,,20222.0,4376611359295636771
MtCallRecord,20180713112549,,,4376611359295636771
MoCallRecord,20180713112506,,22194.0,1177091170827793705
MtCallRecord,20180713112506,,,1177091170827793705
MtSMSRecord,20180713112604,,,3384066821637594455
MtCallRecord,20180713112508,,,5209015731318270092
MoCallRecord,20180713112508,,34362.0,5209015731318270092
MtSMSRecord,20180713112603,,,3384066821637594455
MtSMSRecord,20180713112604,,,3384066821637594455
